miasto,lat,lng,populatio
Kolbudy,54.2749,18.4887,16826
Murowana Goślina,52.5697,17.0098,16820
Lędziny,50.1298,19.1235,16819
Radzionków,50.4016,18.901,16798
Krynica-Zdrój,49.4157,20.9339,16780
Gubin,51.9572,14.749,16740
Obrowo,52.9772,18.8355,16559
Rypin,53.06621,19.40885,16482
Łącko,49.5429,20.4619,16460
Piekoszów,50.874,20.4221,16449
Opalenica,52.3133,16.4135,16423
Pelplin,53.9258,18.7018,16410
Milanówek,52.1248,20.6703,16398
Dęblin,51.5673,21.8743,16398
Wasilków,53.2129,23.1959,16370
Miedźna,49.98252,19.04883,16347
Jasło,49.72222,21.4344,16331
Proszowice,50.1887,20.2928,16324
Starogard Gdański,53.9931,18.5344,16308
Trzebiatów,54.0557,15.2825,16303
Sulejów,51.3542,19.8786,16291
Morawica,50.7453,20.6122,16290
Kazimierza Wielka,50.2692,20.4861,16290
Drawsko Pomorskie,53.5336,15.8068,16252
Maków Podhalański,49.7398,19.6607,16245
Ustroń,49.7186,18.8313,16108
Brzeg Dolny,51.2684,16.7196,16086
Kożuchów,51.7468,15.5973,16085
Kościan,52.07864,16.69393,16059
Juchnowiec Kościelny,53.0024,23.155,16058
Janów Lubelski,50.7006,22.4136,16057
Świlcza,50.0881,21.8762,16040
Ostróda,53.6391,19.9436,16031
Zbrosławice,50.4077,18.713,16001
Łazy,50.4252,19.392,15992
Gmina Dobre Miasto,53.98688,20.39131,15978
Luzino,54.56124,18.09712,15964
Sępólno Krajeńskie,53.4525,17.5286,15936
Halinów,52.2252,21.3568,15926
Karczew,52.0657,21.2774,15916
Sulęcin,52.4475,15.1202,15912
Kościerzyna,54.0981,17.9668,15895
Rymanów,49.5757,21.8728,15891
Zdzieszowice,50.4213,18.1148,15889
Lidzbark Warmiński,54.13078,20.56734,15877
Radzyń Podlaski,51.77683,22.62637,15808
Złotoryja,51.1223,15.9185,15783
Daleszyce,50.8033,20.8016,15775
Świdwin,53.7742,15.7973,15725
Ustka,54.57318,16.86018,15709
Poddębice,51.8948,18.9645,15663
Gniew,53.841,18.8114,15651
Lubin,51.36404,16.19415,15605
Boguszów-Gorce,50.7551,16.2051,15566
Porąbka,49.8236,19.246,15544
Miękinia,51.1771,16.7906,15524
Jedlicze,49.717,21.647,15497
Władysławowo,54.79401,18.36175,15482
Przeworsk,50.05452,22.50116,15452
Nowe Skalmierzyce,51.7088,17.9962,15430
Połczyn-Zdrój,53.7615,16.0927,15417
Nowogrodziec,51.1991,15.3939,15290
Złocieniec,53.5251,16.0151,15289
Pawłów,50.9571,21.089,15272
Zwoleń,51.3568,21.5864,15271
Kocmyrzów-Luborzyca,50.1383,20.1158,15260
Mińsk Mazowiecki,52.17585,21.64003,15258
Dobczyce,49.8795,20.0861,15227
Lisia Góra,50.097,21.0691,15226
Węgierska Górka,49.5777,19.1558,15164
Klucze,50.36544,19.57051,15158
Oława,50.92431,17.23479,15138
Limanowa,49.7149,20.4107,15103
Chęciny,50.8111,20.4671,15053
Mykanów,50.9327,19.1806,15034
Zelów,51.4726,19.2249,15022
Mońki,53.4042,22.8052,15015
Stęszew,52.2827,16.705,15013
Supraśl,53.2117,23.3465,15009
Choroszcz,53.1365,22.9874,14967
Przeworsk,50.05967,22.42215,14892
Iłża,51.1644,21.2441,14860
Barcin,52.864,17.9398,14858
Sułkowice,49.84,19.7934,14826
Skarszewy,54.0655,18.4455,14808
Czernica,51.0661,17.2623,14743
Żmigród,51.4711,16.9074,14729
Raba Wyżna,49.5745,19.86352,14695
Dębno,49.96784,20.71918,14677
Dukla,49.5575,21.6754,14665
Błaszki,51.6523,18.4415,14658
Chełm,51.15122,23.38033,14646
Chełmża,53.1923,18.6088,14645
Skaryszew,51.3017,21.2523,14634
Parczew,51.6347,22.893,14613
Odolanów,51.5781,17.6699,14605
Lipno,52.8425,19.17533,14592
Siemiatycze,52.4205,22.8751,14590
Gniewkowo,52.8999,18.4209,14569
Czernichów,50.0201,19.6604,14535
Żuromin,53.0615,19.913,14511
Brusy,53.886,17.723,14494
Serock,52.517,21.0515,14485
Poniatowa,51.183,22.0578,14430
Jedlińsk,51.5131,21.11008,14423
Głowno,51.962,19.714,14422
Tczew,54.0853,18.6897,14411
Korzenna,49.6977,20.8376,14397
Bolesławiec,51.3215,15.5488,14391
Nieporęt,52.40775,21.03991,14369
Koziegłowy,50.6158,19.1675,14369
